timestamp,scream,flushed,stuckOutTongue,stuckOutTongueWinkingEye,wink,smirk,rage,disappointed,kissing,laughing,smiley,relaxed,BrowRaise,BrowFurrow,NoseWrinkle,UpperLipRaise,LipCornerDepressor,ChinRaise,LipPucker,LipPress,LipSuck,MouthOpen,Smirk,EyeClosure,Attention,EyeWiden,CheekRaise,LidTighten,Dimpler,LipStretch,JawDrop,InnerBrowRaise,Smile,Engagement,Valence,Contempt,Surprise,Anger,Sadness,Disgust,Fear,Joy,Glasses
8.433333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.58953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.533334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.40208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.17747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.36345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.733334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.96553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.62802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.866667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.933333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.96254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.78581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.033334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.77694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.37704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.02514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.233334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.43079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.366667,0.02817554,0.001829086,0,0,0.001832508,1.902007E-06,0.002121912,0.001829954,0.00195362,0.001814393,0.001814504,0.00182189,1.895535E-06,0.1107892,0.0001016144,5.158666E-06,0.002612503,0.08512057,0.3622835,0.09576466,0.05036674,0.3642639,3.329105E-05,5.501717E-07,39.25408,2.346123E-05,2.925124E-07,1.190064,0.1395005,0.004208906,0.2097647,0.194396,0.0004800493,0.08171055,0,0.1930671,0.1947116,0.002121912,0.02419326,0.4276575,0.004539661,0.001828079,1
9.433333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.74102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.5,0.02815365,0.001829086,0,0,0.00183217,1.902004E-06,0.002138417,0.001829866,0.001935181,0.00181461,0.001814737,0.00182214,2.213035E-06,0.1039589,0.003655606,0.0001817699,0.002078131,0.1504729,0.2574621,0.009598847,0.07046215,0.6237862,1.618013E-05,4.059877E-07,40.50986,2.264116E-05,4.209921E-07,1.200837,0.0874376,0.005942808,0.166995,0.2150895,0.0006209661,0.08319756,0,0.19304,0.1959703,0.002138417,0.02403164,0.4293806,0.004546867,0.00183759,1
9.533334,0.02813331,0.001829086,0,0,0.001832038,1.902002E-06,0.002352929,0.001829825,0.00192007,0.001814182,0.001814315,0.001821936,2.673322E-06,0.1170469,0.001939701,0.0001123147,0.001980894,0.110195,0.1797432,0.003162188,0.03664592,3.384328,1.31975E-05,1.070445E-06,37.43714,2.61015E-05,4.564861E-07,1.257876,0.04044717,0.005849943,0.1287055,0.2237677,0.0006405554,0.101408,0,0.193087,0.2096547,0.002352929,0.0219683,0.4520578,0.004555312,0.001930525,1
9.6,0.0281244,0.001829086,0,0,0.001832071,1.902001E-06,0.004430993,0.001829796,0.001920583,0.001813645,0.001813766,0.001821627,2.340982E-06,0.1282285,0.00055181,2.84905E-05,0.001868433,0.03898026,0.2728882,0.006583564,0.01419493,21.97979,6.224748E-06,1.072037E-06,40.47289,2.749889E-05,2.41022E-07,1.506181,0.03944045,0.006066471,0.1336299,0.2293131,0.0003644331,0.3819865,0,0.1931312,0.3331686,0.004430993,0.01183895,0.6333827,0.004556798,0.002705013,1
9.666667,0.02812544,0.001829086,0,0,0.001832109,1.902E-06,0.01223333,0.001829752,0.001930286,0.00181317,0.001813279,0.001821351,1.027658E-06,0.134536,5.668459E-05,1.846318E-06,0.001473353,0.01533899,0.4056755,0.01272826,0.008271442,52.31145,9.443007E-06,7.975431E-07,41.47855,2.731045E-05,1.668626E-07,1.578444,0.04523105,0.006193421,0.164921,0.2192957,0.0002687633,3.239829,0,0.1931555,0.708545,0.01223333,0.004306872,1.094612,0.004552321,0.004693332,1
9.733334,0.02813019,0.001829086,0,0,0.001832417,1.902001E-06,0.007563669,0.001829699,0.001959279,0.001812928,0.001813028,0.001821202,5.951533E-07,0.1311935,8.501955E-07,1.930639E-08,0.001048761,0.006728947,0.7707869,0.03295945,0.008319689,37.39009,2.36668E-05,1.100865E-06,39.47644,2.931901E-05,1.276043E-07,1.871683,0.06944226,0.007429406,0.1886846,0.1679667,0.0002259411,1.139899,0,0.1931443,0.4888418,0.007563669,0.007053648,0.8366885,0.004544509,0.003578945,1
9.8,0.02812873,0.001829086,0,0,0.001833093,1.902003E-06,0.004255898,0.001829643,0.002001848,0.001812828,0.001812919,0.001821129,3.352628E-07,0.127284,2.985557E-09,2.055018E-11,0.0006732592,0.002961606,1.15688,0.08567493,0.01265756,19.69818,6.13016E-05,2.220544E-06,40.29227,2.690325E-05,7.466513E-08,2.142735,0.08028678,0.01035774,0.1554797,0.1340075,0.0001574147,0.3247063,0,0.193132,0.3143117,0.004255898,0.01267595,0.6078255,0.004546754,0.002595169,1
9.866667,0.02812129,0.001829086,0,0,0.001834404,1.902008E-06,0.003322636,0.001829589,0.002045055,0.00181256,0.001812644,0.001820977,2.403793E-07,0.1390551,8.975543E-10,3.793014E-12,0.0003767987,0.002515839,1.372477,0.1238981,0.02491377,11.20583,0.0001242238,2.445344E-06,41.59764,2.77742E-05,7.233826E-08,2.808914,0.1328163,0.01726231,0.1057998,0.104449,0.0001567143,0.1774416,0,0.1931758,0.2537609,0.003322636,0.01679039,0.5209998,0.004554644,0.002222157,1
9.933333,0.02811267,0.001829086,0,0,0.001836358,1.902017E-06,0.002964522,0.001829544,0.002060026,0.001812434,0.001812514,0.001820901,2.157707E-07,0.1333818,1.759938E-10,1.120153E-12,0.0002864811,0.001095858,0.9647958,0.1662025,0.02773868,7.323021,0.0002289786,9.77021E-07,41.46706,2.851861E-05,8.828481E-08,3.102493,0.3169822,0.0213217,0.08077576,0.07619174,0.0001880824,0.1344676,0,0.193157,0.2301735,0.002964522,0.0190515,0.4855956,0.004555895,0.002071472,1
10,0.02810534,0.001829086,0,0,0.001839099,1.902032E-06,0.00304204,0.001829505,0.002080366,0.001812659,0.001812735,0.001821004,2.162173E-07,0.1087057,8.136614E-10,6.833138E-12,0.0002043383,0.000461645,1.171885,0.1483978,0.02231762,7.605691,0.0003924013,2.30992E-07,42.92918,3.158517E-05,8.208561E-08,3.456063,0.6331252,0.02612867,0.07647768,0.05774797,0.0001835047,0.1369651,0,0.1930712,0.2320393,0.00304204,0.01882209,0.4882132,0.00455196,0.00208551,1
10.03333,0.02810314,0.001829086,0,0,0.001842384,1.902056E-06,0.00284648,0.00182947,0.002103087,0.001813392,0.001813465,0.001821364,2.566591E-07,0.06305739,1.049267E-09,1.288625E-11,0.0001128809,0.000165113,1.331996,0.11565,0.01230898,5.724316,0.0007422058,1.971615E-07,38.07344,3.237313E-05,8.256436E-08,3.445598,0.9467809,0.02981056,0.1174472,0.04349177,0.0002058477,0.1193736,0,0.1929132,0.2221262,0.00284648,0.01996671,0.4720983,0.004538177,0.002021418,1
10.1,0.02810464,0.001829086,0,0,0.001846077,1.902091E-06,0.00284837,0.00182944,0.002120548,0.001814139,0.001814212,0.001821736,3.721036E-07,0.05065821,1.120155E-08,2.439213E-10,7.531153E-05,9.657841E-05,1.290132,0.05491439,0.008387471,5.818391,0.001137132,1.808004E-07,44.31158,2.6449E-05,1.206669E-07,3.411028,1.358365,0.03654806,0.1566889,0.03639605,0.0003007107,0.1200712,0,0.1928751,0.2229563,0.00284837,0.01989759,0.4729918,0.00453057,0.002026553,1
